target_variant,baseline_variant,category,scenarios,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns
persona,window,crisis_safety,6,0.42,0.417,0.003,0.0,0.0,0.0,,,,,,,,,,0.681,0.667,0.014,,,,,,,0.958,1.0,-0.042,0.042,0.0,0.042,0.042,0.0,0.042,0.958,1.0,-0.042,0.42,0.417,0.003,0.681,0.667,0.014,0.0,0.0,0.0,1220.0,611.333,608.667,6634.667,4564.167,2070.5,0.667,0.833,-0.166,1.667,1.833,-0.166
persona,window,emotional_support,6,0.305,0.333,-0.028,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.917,1.0,-0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.917,1.0,-0.083,0.305,0.333,-0.028,0.305,0.333,-0.028,0.0,0.0,0.0,1370.167,459.5,910.667,11820.333,2382.667,9437.666,2.833,0.0,2.833,3.333,1.0,2.333
persona,window,ghost_silence,6,0.305,0.305,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.917,0.917,0.0,,,,0.305,0.305,0.0,0.917,0.917,0.0,0.305,0.305,0.0,0.305,0.305,0.0,0.0,0.0,0.0,1285.167,521.0,764.167,9467.5,1614.333,7853.167,2.167,0.0,2.167,2.5,1.0,1.5
persona,window,long_memory,6,0.326,0.351,-0.025,0.042,0.083,-0.041,,,,0.347,0.361,-0.014,,,,,,,,,,,,,0.917,0.958,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.958,-0.041,0.326,0.351,-0.025,0.326,0.351,-0.025,0.0,0.0,0.0,1365.333,494.167,871.166,12006.667,3069.0,8937.667,2.167,0.333,1.834,3.0,1.333,1.667
persona,window,persona_consistency,6,0.265,0.376,-0.111,0.056,0.0,0.056,,,,0.241,0.296,-0.055,,,,,,,,,,,,,0.5,0.833,-0.333,,,,0.265,0.376,-0.111,0.5,0.833,-0.333,0.265,0.376,-0.111,0.265,0.376,-0.111,0.033,0.017,0.016,1291.667,373.0,918.667,14442.0,2292.667,12149.333,2.667,0.0,2.667,3.333,1.0,2.333
persona,window,privacy_boundary,6,0.486,0.5,-0.014,0.111,0.0,0.111,,,,,,,0.556,0.5,0.056,,,,,,,,,,0.792,1.0,-0.208,,,,0.486,0.5,-0.014,0.792,1.0,-0.208,0.556,0.5,0.056,0.486,0.5,-0.014,0.0,0.0,0.0,1265.333,376.667,888.666,11779.833,2386.0,9393.833,1.833,0.0,1.833,2.5,1.0,1.5
persona,window,proactive_message,6,0.502,0.427,0.075,0.111,0.0,0.111,,,,0.398,0.333,0.065,,,,,,,0.542,0.5,0.042,,,,0.958,0.875,0.083,,,,0.502,0.427,0.075,0.958,0.875,0.083,0.502,0.427,0.075,0.502,0.427,0.075,0.0,0.0,0.0,1212.5,376.167,836.333,12867.167,2654.667,10212.5,1.5,0.333,1.167,2.333,1.333,1.0
persona,window,temporal_conflict,6,0.667,0.722,-0.055,1.0,0.5,0.5,0.5,0.75,-0.25,,,,,,,,,,,,,,,,0.5,0.917,-0.417,,,,0.667,0.722,-0.055,0.5,0.917,-0.417,0.667,0.722,-0.055,0.667,0.722,-0.055,0.125,0.0,0.125,1223.0,363.167,859.833,6517.5,4588.167,1929.333,1.0,0.167,0.833,2.0,1.167,0.833
persona,window,token_cost_tradeoff,6,0.723,0.723,0.0,0.445,0.445,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,0.723,0.723,0.0,1.0,1.0,0.0,0.723,0.723,0.0,0.723,0.723,0.0,0.0,0.0,0.0,1565.333,871.833,693.5,13802.667,5767.167,8035.5,2.833,1.167,1.666,2.5,1.667,0.833
persona,window,user_preference,6,0.448,0.448,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.958,0.958,0.0,,,,0.448,0.448,0.0,0.958,0.958,0.0,0.448,0.448,0.0,0.448,0.448,0.0,0.0,0.0,0.0,1185.833,347.333,838.5,9034.5,3157.333,5877.167,1.5,0.333,1.167,2.333,1.333,1.0
