target_variant,baseline_variant,category,negative_composite
persona_affect,rag,persona_consistency,6
persona_affect,window,persona_consistency,5
persona_affect,window,privacy_boundary,5
full,window,privacy_boundary,4
persona,rag,persona_consistency,4
persona,window,privacy_boundary,4
persona_affect,window,ghost_silence,4
persona_affect,window,long_memory,4
full,rag,persona_consistency,3
full,window,persona_consistency,3
full,window,token_cost_tradeoff,3
persona,rag,long_memory,3
persona,rag,temporal_conflict,3
persona,window,temporal_conflict,3
persona_affect,rag,long_memory,3
persona_affect,window,token_cost_tradeoff,3
full,rag,crisis_safety,2
full,rag,long_memory,2
full,rag,temporal_conflict,2
full,rag,token_cost_tradeoff,2
full,rag,user_preference,2
full,window,crisis_safety,2
full,window,long_memory,2
full,window,temporal_conflict,2
full,window,user_preference,2
persona,rag,token_cost_tradeoff,2
persona,window,emotional_support,2
persona,window,long_memory,2
persona,window,persona_consistency,2
persona,window,token_cost_tradeoff,2
persona_affect,rag,emotional_support,2
persona_affect,rag,user_preference,2
persona_affect,window,emotional_support,2
persona_affect,window,temporal_conflict,2
full,rag,emotional_support,1
full,rag,privacy_boundary,1
full,window,emotional_support,1
persona,rag,crisis_safety,1
persona,rag,emotional_support,1
persona,rag,ghost_silence,1
persona,rag,privacy_boundary,1
persona,rag,proactive_message,1
persona,window,crisis_safety,1
persona,window,ghost_silence,1
persona,window,user_preference,1
persona_affect,rag,crisis_safety,1
persona_affect,rag,privacy_boundary,1
persona_affect,rag,temporal_conflict,1
persona_affect,rag,token_cost_tradeoff,1
persona_affect,window,crisis_safety,1
persona_affect,window,proactive_message,1
persona_affect,window,user_preference,1
